78008.32617,1704.05,0.05257783,1
78006.327473,1704.09,0.02358361,1
78003.624288,1704.16,0.02850224,-1
78003.456651,1704.16,0.04005784,-1
78002.555729,1704.15,0.02613087,-1
78001.76916,1704.15,0.00058073,-1
78001.645511,1704.17,0.00348438,-1
78001.397333,1704.19,0.16691638,-1
78000.926674,1704.27,0.05700382,-1
78000.794923,1704.27,0.02670732,-1
78000.546316,1704.32,0.008,-1
78000.504919,1704.32,0.01710221,-1
78000.288498,1704.4,0.211483,1
78000.236839,1704.76,0.00075354,1
78000.21564,1704.76,0.43092449,1
78000.21564,1704.76,0.14664047,1
78000.21564,1704.76,0.42296788,1
77999.964602,1704.77,0.00101625,-1
77996.663766,1704.77,0.00145178,-1
77995.219184,1704.75,0.01891294,-1
77994.508455,1704.78,0.01448816,-1
77993.744477,1704.72,0.058601,1
77989.699811,1704.86,0.09447981,-1
77989.699811,1704.78,0.87987892,-1
77987.3669,1704.87,0.00087259,1
77987.3669,1704.87,0.14662241,1
77986.958865,1704.88,0.00001172,-1
77986.518888,1704.88,0.00290353,-1
77985.826433,1704.84,0.11612563,-1
77984.892314,1704.83,0.058601,1
77984.654119,1704.83,0.52152423,-1
77984.654119,1704.78,0.36855238,-1
77983.62316,1704.87,0.058601,1
77983.543461,1705.04,0.462894,1
77981.942132,1705.07,0.02323017,-1
77981.590116,1705.05,0.00036961,1
77981.493325,1705.06,0.00556376,-1
77980.514544,1705,0.146672,1
77980.435366,1705.01,0.05565087,-1
77978.822796,1705.03,0.10943671,-1
77978.822796,1705.01,0.01299404,-1
77978.525029,1705.01,0.04560743,-1
77976.904938,1704.97,0.0834734,-1
77976.351342,1704.96,0.00000586,1
77976.339755,1704.96,0.00322001,1
77975.293692,1704.96,0.16209,1
77974.589756,1704.75,1.17327954,-1
77974.580663,1704.7,0.25749378,-1
77974.579603,1704.66,0.04697936,-1
77974.579299,1704.66,0.55257826,-1
77974.579299,1704.66,0.05860147,-1
77974.579299,1704.65,0.29977882,-1
77973.270948,1704.63,0.14663592,-1
77972.842777,1704.62,0.03586,1
77972.682132,1704.62,0.11081225,1
77972.682132,1704.63,0.00088472,1
77971.825086,1704.64,0.001769,1
77971.749458,1704.53,0.001769,1
77971.697777,1704.47,0.00265344,1
77971.697777,1704.47,0.00088456,1
77971.485112,1704.56,0.06343778,-1
77971.481596,1704.46,0.05857204,-1
77971.477798,1704.41,0.007075,1
77971.423254,1704.41,0.01415,1
77971.414554,1704.43,0.02726977,-1
77971.309874,1704.43,0.001203,1
77969.437983,1704.39,0.08681103,1
77969.437983,1704.4,0.00103166,1
77967.987585,1704.47,0.08075943,-1
77965.159312,1704.46,0.002062,1
77965.104622,1704.46,0.00412384,1
77965.104622,1704.46,0.00000016,1
77965.070274,1704.46,0.008249,1
77964.959884,1704.46,0.008249,1
77964.839144,1704.44,0.01502596,-1
77964.392614,1704.4,0.01630452,1
77964.392614,1704.41,0.00073618,1
77964.392614,1704.41,0.00073619,1
77964.261758,1704.46,0.00294263,1
77964.261758,1704.46,0.00000037,1
77964.208223,1704.46,0.005887,1
77963.186462,1704.46,0.011773,1
77962.382008,1704.42,0.007848,1
77962.19608,1704.46,0.03139363,1
77962.19608,1704.46,0.00000037,1
77962.163774,1704.46,0.062789,1
77962.077574,1704.46,0.125577,1
77962.047477,1704.4,0.01691173,1
77962.047477,1704.46,0.25115574,1
77957.641483,1704.46,0.01716206,1
77957.568813,1704.38,0.01161847,1
77957.568813,1704.46,0.00000067,1
77956.343091,1704.46,0.146657,1
77954.587164,1704.47,0.03060101,-1
77954.115758,1704.47,0.069838,1
77953.527463,1704.68,0.146705,1
77953.178936,1704.73,0.01535,1
77952.126184,1704.7,0.001175,1
77950.956391,1704.71,0.00278282,-1
77945.922759,1704.59,0.29327873,-1
78013.349331,1704.19,0.00087638,1
78013.618044,1704.23,0.01558474,-1
78015.35684,1704.27,0.00703758,-1
78015.892379,1704.24,0.003518,1
78016.484091,1704.29,0.146704,1
78017.951472,1704.29,0.27086029,-1
78018.8921,1704.29,0.0582349,-1
78018.8921,1704.29,0.05860147,-1
78019.00073,1704.29,0.03987345,-1
78019.32333,1704.29,0.14666518,-1
78022.193063,1704.11,0.146684,1
78022.294276,1704.06,0.96933503,-1
78023.585051,1704.06,0.06010509,-1
78024.436763,1704.06,0.666605,-1
78025.364358,1704.07,0.28848,1
78025.317973,1704.08,0.01947714,-1
78025.541483,1704.06,0.11130958,-1
78025.898991,1704.05,0.59270561,1
78027.134576,1704.05,0.317291,1
78027.134576,1704.05,0.000752,1
78027.666544,1703.98,1.53882237,1
78027.613294,1704,0.001,1
78028.109056,1703.91,0.1140538,-1
78028.176746,1703.91,0.03464487,-1
78028.293732,1703.91,0.0005809,-1
78029.97058,1703.91,0.02904827,-1
78030.162833,1703.8,0.0002665,1
78030.162833,1703.9,0.001,1
78030.276862,1703.83,0.11130958,-1
78030.527527,1703.81,0.05565397,1
78030.527527,1703.81,0.14424003,1
78033.022909,1703.81,0.01669695,-1
78034.452157,1703.81,0.013205,-1
78035.971259,1703.9,0.099947,1
78035.959867,1703.81,0.80991622,-1
78036.361101,1704,0.01249268,1
78036.361101,1704,0.01874037,1
78036.361101,1704,0.00624679,1
78036.361101,1704,0.00000016,1
78036.331889,1704,0.024987,1
78036.803393,1704,0.00117018,1
78036.803393,1704,0.01639821,1
78036.803393,1704,0.00000061,1
78036.766291,1704,0.002342,1
78036.861817,1703.96,0.00439234,1
78036.861817,1703.96,0.00439266,1
78036.979395,1703.96,0.00219518,1
78036.979395,1703.96,0.00000082,1
78036.936261,1703.96,0.004392,1
78037.013665,1704.06,0.002196,1
78037.010202,1704.2,0.1383989,-1
78037.010202,1704.2,0.001,-1
78037.010202,1704.19,0.05860147,-1
78037.010202,1704.13,1.17360795,-1
78037.010202,1704.11,0.00000246,-1
78037.010202,1704.1,0.001,-1
78037.010202,1704.07,0.88024946,-1
78037.010202,1704,0.001098,-1
78037.010202,1704,0.002196,-1
78037.010202,1704,0.59560717,-1
78038.225702,1704.03,0.0022124,1
78039.406346,1704.05,0.33773559,1
78039.406346,1704.05,0.00075241,1
78040.456657,1704.03,0.144504,1
78042.391161,1704.2,0.18915088,-1
78042.391161,1704.2,0.001,-1
78042.389713,1704.11,1.17361796,-1
78042.386582,1704.06,0.55082653,-1
78042.386532,1704.06,0.32942526,-1
78042.386532,1704.05,0.05860147,-1
78042.386532,1704.04,0.01738265,-1
78042.386532,1704.04,0.14541715,-1
78043.224487,1704.29,0.00566458,-1
78044.089548,1704.29,0.4453318,-1
78044.954377,1704.29,0.00957437,-1
78044.953569,1704.28,0.99999999,1
78044.953569,1704.28,0.14670501,1
78044.924255,1704.29,0.29240907,1
78044.922235,1704.29,9.95547559,1
78044.922235,1704.29,0.30054941,1
78045.293865,1704.28,0.99998999,1
78045.293865,1704.28,0.00000001,1
78045.233165,1704.29,3.65023911,1
78045.233165,1704.29,0.15506189,1
78045.584,1704.29,0.07753,1
78046.695824,1704.29,0.03275873,1
78047.021486,1704.3,0.00001173,-1
78047.173523,1704.4,0.00091601,-1
78047.173523,1704.4,0.001,-1
78047.173523,1704.3,0.00098827,-1
78049.497302,1704.34,0.146705,1
78049.436137,1704.36,0.00000001,1
78049.436137,1704.36,0.99999,1
78049.55319,1704.2,0.146705,1
78049.536228,1704.32,1,1
78050.954547,1704.11,0.58088563,-1
78059.989145,1704.11,0.012323,-1
78065.013826,1704.06,0.12951498,1
78064.966406,1704.1,0.00000039,1
78064.942313,1704.1,0.00075282,1
78064.942313,1704.1,0.33676518,1
78064.926478,1704.1,0.66323482,1
78064.926478,1704.1,0.001,1
78065.017813,1704.06,0.87048502,1
78066.28408,1703.96,1,1
78066.249671,1704,1,1
78066.249671,1704,0.0008111,1
78066.249671,1704,0.001,1
78068.504168,1703.9,1,1
78068.504168,1703.9,0.001,1
78073.205055,1703.83,0.035514,-1
78075.166405,1703.8,0.64906678,1
78075.166405,1703.8,0.0007335,1
78075.166405,1703.82,1,1
78075.209935,1704.21,1.09831836,-1
78075.209935,1704.2,0.001,-1
78075.209935,1704.19,0.88025328,-1
78075.209935,1704.12,3.08736363,-1
78075.209935,1704.11,0.6,-1
78075.209935,1704.1,0.88025328,-1
78075.209935,1704.1,0.001,-1
78075.209935,1704.06,4.7438747,-1
78075.209935,1704.01,0.14672223,-1
