1704.17,0.21769592,1
1704.11,0.88025328,1
1704.05,0.909996,1
1704.04,0.88025328,1
1704.03,1.17357309,1
1704,0.88027948,1
1703.99,7.62478996,1
1703.97,7.40377916,1
1703.96,10.27234602,1
1703.92,0.88025328,1
1703.9,4.7438747,1
1703.88,5.71000178,1
1703.87,7.62478996,1
1703.83,1.52582057,1
1703.8,1.88025328,1
1703.76,4.26851928,1
1703.75,4.7438747,1
1703.73,0.88025328,1
1703.7,4.55271354,1
1703.69,7.62478996,1
1703.68,0.05861183,1
1703.66,1.76520097,1
1703.64,4.7438747,1
1703.59,0.14218595,1
1703.58,0.3,1
1703.57,7.62478996,1
1703.56,4.04809789,1
1703.55,0.17768,1
1703.54,0.88025328,1
1703.53,5.82686825,1
1703.51,0.1346077,1
1703.48,2.26427803,1
1703.46,0.1553216,1
1703.44,7.65844188,1
1703.43,0.88025328,1
1703.42,4.7438747,1
1703.38,0.06730385,1
1703.37,0.70088008,1
1703.3,1,1
1703.29,0.88025328,1
1703.28,8.71457729,1
1703.27,0.2692154,1
1703.22,4.7438747,1
1703.19,1.09636182,1
1703.15,0.88025328,1
1703.13,0.83366806,1
1703.05,1,1
1703.04,9.14059241,1
1703.02,1.1154847,1
1703.01,5.62412798,1
1703,0.29305919,1
1702.96,2.07662468,1
1702.93,0.88025328,1
1702.92,7.62478996,1
1702.88,39.18605174,1
1702.86,0.00088008,1
1702.82,0.88025328,1
1702.8,7.62478996,1
1702.74,0.03456538,1
1702.73,4.94387468,1
1702.69,0.88025328,1
1702.68,7.62478996,1
1702.66,0.09999999,1
1702.6,1.17072082,1
1702.58,1.40936576,1
1702.57,4.7438747,1
1702.56,12.36080996,1
1702.55,0.88025328,1
1702.45,46.14576597,1
1702.44,7.62478996,1
1702.43,21.89130765,1
1702.42,1.19886659,1
1702.35,0.00088008,1
1702.34,0.85,1
1702.33,3.82976951,1
1702.32,0.67303849,1
1702.26,2.51829762,1
1702.24,7.62478996,1
1702.22,1.17473905,1
1702.21,0.00554276,1
1702.17,0.04386834,1
1702.09,27.75993675,1
1701.89,32.82656635,1
1701.88,86.52178074,1
1701.86,86.52262167,1
1701.84,0.00088008,1
1701.83,0.25359862,1
1701.82,0.20012295,1
1701.75,47.57020194,1
1701.74,10,1
1701.73,0.0467748,1
1701.72,38.15281116,1
1701.69,16.43002325,1
1701.6,0.25,1
1701.59,0.04,1
1701.54,0.84129811,1
1701.49,0.5,1
1701.47,0.00727148,1
1701.41,10.9203737,1
1701.37,0.0468612,1
1701.33,0.00088008,1
1701.26,0.24264679,1
1701.24,0.04,1
1701.07,0.04,1
1701.05,1,1
1700.99,0.01469732,1
1700.9,0.04,1
1700.83,49.413729,1
