2312.6,0.00148862,1
2312.5,0.001,1
2312.45,0.64866057,1
2312.4,0.001,1
2312.38,1.01902463,1
2312.37,0.3,1
2312.3,0.5199201,1
2312.28,0.991814,1
2312.27,0.5,1
2312.23,0.5,1
2312.21,3.015447,1
2312.2,5.051,1
2312.15,1.84414684,1
2312.14,1.23650105,1
2312.12,0.65152213,1
2312.1,0.001,1
2312.06,0.7,1
2312.03,0.00025951,1
2312,0.051,1
2311.99,1.36478239,1
2311.98,1.63519406,1
2311.92,0.65087359,1
2311.9,0.001,1
2311.87,1.8375,1
2311.86,5.21252736,1
2311.85,5.96620848,1
2311.84,1.78001048,1
2311.83,0.38998265,1
2311.81,0.544,1
2311.8,0.051,1
2311.77,3.58559072,1
2311.76,1.0332,1
2311.75,1.94353216,1
2311.74,0.1,1
2311.71,0.38998265,1
2311.7,0.001,1
2311.69,0.65087359,1
2311.63,1.36025414,1
2311.62,1.8375,1
2311.6,0.051,1
2311.59,0.38998265,1
2311.52,1.91335182,1
2311.51,2.16308819,1
2311.5,0.001,1
2311.46,1.08080967,1
2311.45,0.38998265,1
2311.44,0.65087359,1
2311.43,1.12860471,1
2311.41,0.77576674,1
2311.4,0.05187383,1
2311.37,1.8375,1
2311.33,0.04325755,1
2311.3,0.001,1
2311.29,1.36116036,1
2311.28,1.57151376,1
2311.26,0.1,1
2311.21,0.38998265,1
2311.2,1.87270855,1
2311.19,0.65087359,1
2311.12,1.8375,1
2311.08,0.38998265,1
2311.05,3.62013821,1
2311.04,2.17519233,1
2311.01,0.65087359,1
2311,0.05,1
2310.97,3.209,1
2310.96,0.38998265,1
2310.88,1.14379311,1
2310.87,1.8375,1
2310.83,3.31619407,1
2310.82,0.38998265,1
2310.81,0.65087359,1
2310.8,0.05,1
2310.78,3.37847552,1
2310.74,0.00064853,1
2310.65,0.38998265,1
2310.64,1.48555903,1
2310.63,0.65087359,1
2310.61,1.8375,1
2310.56,8.85864067,1
2310.55,9.91966735,1
2310.54,0.33695103,1
2310.51,3.20017905,1
2310.48,0.38998265,1
2310.46,0.64866057,1
2310.45,0.65087359,1
2310.44,0.67390206,1
2310.4,0.21728776,1
2310.39,15.30113912,1
2310.38,20.45114144,1
2310.37,5.5995,1
2310.29,0.62139118,1
2310.28,0.65087359,1
2310.24,0.38998265,1
2310.23,0.5,1
2310.22,1.97298777,1
2310.21,3.30483713,1
2310.12,1.48594621,1
2310.11,0.65087359,1
2310.08,1.8375,1
